session_id,role,content,sequence_id,annotator[consensus][0]TUTOR_MOVE,annotator[consensus][1]TUTOR_MOVE
2937,volunteer,Okay good! Since opposite sides of a rectangle are the same we can go ahead and mark the numbers on these,10,EXPLAINING_CONCEPTUAL,EXPLAINING_PROCEDURAL
2937,volunteer,"Perimeter is the number we get when we add all sides, do you wanna try this?",11,EXPLAINING_CONCEPTUAL,PROMPTING_NEXT_STEP
2937,student,yes,12,None,None
2937,student,the perimeter is 22,13,None,None
2937,student,no,14,None,None
2937,student,32,15,None,None
2937,volunteer,That's right!,16,FEEDBACK_CORRECT,None
2937,volunteer,Our Area is the Length times our <LOCATION> for the rectangle!,17,EXPLAINING_CONCEPTUAL,None
2937,student,60,18,None,None
2937,volunteer,You got it!,19,FEEDBACK_CORRECT,None
2937,volunteer,Is there any other information with rectangles you need?,20,None,None
2937,student,can we also work on plotting numbers on the coordinate plane including decimals,21,None,None
2937,volunteer,Sure!,22,None,None
2937,student,i meant to say including negatives,23,None,None
2937,volunteer,Ah! That's all good!,24,None,None
2937,volunteer,"Okay! I know it is not perfect, but can you try plotting down (-1, 2)?",25,PROMPTING_NEXT_STEP,None
2937,volunteer,"That's right! What about (3, -1)?",26,FEEDBACK_CORRECT,PROMPTING_NEXT_STEP
2937,volunteer,Also right! With this it is mostly about remembering your X number is first and your Y is second,27,FEEDBACK_CORRECT,EXPLAINING_CONCEPTUAL
2937,volunteer,Do you need any other help with this topic?,28,None,None
2937,student,yes can we work on plotting for distance,29,None,None
2937,volunteer,Can you give an example?,30,ASKING_TO_CLARIFY_CONTEXT,None
2937,student,"something is at (3,4) and something else is at (-1,2) , how far away are the two from each other",31,None,None
2937,volunteer,Give me one second!,32,None,None
2937,volunteer,Alright! Are you aware of the distance formula?,33,PROBING_PRIOR_KNOWLEDGE,None
2937,student,noo,34,None,None
2937,volunteer,So let's break this down!,35,STRATEGIZING,None
2937,volunteer,"We're gonna use (3,4) as our first coorindates and (-1, 2) as our second one.

This means (3,4) is our <US_DRIVER_LICENSE> and <US_DRIVER_LICENSE>
(-1, 2) is our <US_DRIVER_LICENSE> and <US_DRIVER_LICENSE>",36,EXPLAINING_PROCEDURAL,None
2937,student,ok,37,None,None
2937,student,i need to close really sorry,38,None,None
2937,volunteer,Its okay! I wish you luck!,39,None,None
2937,student,thanks,40,None,None
42811,student,ok\,0,None,None
42811,student,hi,1,None,None
42811,volunteer,Hello! How can I help you today?,2,None,None
42811,student,math\,3,None,None
42811,volunteer,Do you have a specific math problem you need help with?,4,None,None
42811,volunteer,Or a specific concept?,5,None,None
42811,student,yes,6,None,None
42811,student,so i need to find the SLOPE of each line,7,None,None
42811,student,like Y = (-5x) - 1,8,None,None
42811,volunteer,Ok so how would you approach this problem?,9,PROBING_PRIOR_KNOWLEDGE,None
42811,student,my <PERSON> this,10,None,None
42811,volunteer,Do you know how to find the slope in a y = mx + b equation?,11,PROBING_PRIOR_KNOWLEDGE,None
42811,student,techer,12,None,None
42811,student,no,13,None,None
42811,volunteer,m is typically the symbol of the slope,14,EXPLAINING_CONCEPTUAL,None
42811,volunteer,so in this equation the slope is simply -5,15,GIVING_ANSWER,None
42811,student,yes that is wut i nead,16,None,None
42811,volunteer,Are there any other examples you can come up with that you need help with?,17,None,None
42811,student,yes but i need help with this one,18,None,None
42811,student,?,19,None,None
42811,volunteer,"So there's the equation y = mx + b, which is the form that your equation is in.",20,EXPLAINING_CONCEPTUAL,None
42811,student,ok,21,None,None
42811,volunteer,m is the slope of the line and b is the y intercept,22,EXPLAINING_CONCEPTUAL,None
42811,volunteer,so the slope of this line is?,23,PROMPTING_NEXT_STEP,None
42811,student,-5?,24,None,None
42811,volunteer,Exactly!,25,FEEDBACK_CORRECT,None
42811,volunteer,So if you have the equation y = 7x + 4,26,GIVING_EXAMPLE,None
42811,volunteer,what,27,None,None
42811,volunteer,what,28,None,None
42811,volunteer,what's the slope?,29,PROMPTING_NEXT_STEP,None
42811,student,7,30,None,None
42811,volunteer,Right!,31,FEEDBACK_CORRECT,None
42811,volunteer,Is there any other problems you need help with?,32,None,None
42811,student,(Y = 1/4 x + 1) is that just 1/4,33,None,None
42811,volunteer,yes,34,FEEDBACK_CORRECT,None
42811,student,i got it now thank you,35,None,None
42811,volunteer,Ok great!,36,None,None
42811,volunteer,That's it?,37,None,None
42811,student,yes,38,None,None
42811,volunteer,Ok! Have a nice night!,39,None,None
16758,volunteer,"Hey, how are you?",0,ASKING_FEELING,None
16758,student,hi I'm good,1,None,None
16758,volunteer,I see,2,None,None
16758,student,how are you,3,None,None
16758,volunteer,"Good, thanks for asking",4,RAPPORT_BUILDING,None
16758,volunteer,Any ideas on how to strat?,5,PROMPTING_NEXT_STEP,None
16758,student,yes I got the lines,6,None,None
16758,student,and,7,None,None
16758,student,is this good?,8,None,None
16758,volunteer,Great job! That's right,9,FEEDBACK_CORRECT,None
16758,student,greatt,10,None,None
16758,student,let me add 2,11,None,None
16758,volunteer,sure go for it,12,ENCOURAGING,None
16758,volunteer,Do you have to just state whether it's positive or negative or exact slopes?,13,ASKING_TO_CLARIFY_CONTEXT,None
16758,student,I think its the exact slopes,14,None,None
16758,student,but then I'm confused because it says explain,15,None,None
16758,student,but yea I think its the exact slope,16,None,None
16758,volunteer,I see well first of all you can use the points for the slopes using the slope formula,17,STRATEGIZING,None
16758,volunteer,second - explaining is simple because you can talk about how its positive cause increasing or the other way and talk about how the two points have tangents and they help find the slope,18,STRATEGIZING,None
16758,student,oh ok,19,None,None
16758,student,so you think its both? or,20,None,None
16758,volunteer,"Yeah, that's what I would do",21,FEEDBACK_CORRECT,None
16758,volunteer,since it asks for the exact slope and reasoning,22,None,None
16758,student,oh ok,23,None,None
16758,student,can I use the <US_DRIVER_LICENSE>-<US_DRIVER_LICENSE> / <US_DRIVER_LICENSE> - <US_DRIVER_LICENSE> formula for each,24,None,None
16758,volunteer,yes,25,FEEDBACK_CORRECT,None
16758,student,so in that cas,26,None,None
16758,student,actually can I have 5 minutes to solve,27,None,None
16758,volunteer,sure I'll do it to to check,28,RAPPORT_BUILDING,None
16758,student,alright ty,29,None,None
16758,student,ok,30,None,None
16758,student,in order I got,31,None,None
16758,student,"1, -10, 2",32,None,None
16758,volunteer,"can you recheck the first and third, middle one's right",33,FEEDBACK_CORRECT,None
16758,student,ok,34,None,None
16758,student,is the first one,35,None,None
16758,student,20/6,36,None,None
16758,volunteer,"no, what points are you using?",37,PROMPTING_SELF_EXPLANATION,FEEDBACK_INCORRECT
16758,student,for the start,38,None,None
16758,student,I used,39,None,None
16758,student,those,40,None,None
16758,volunteer,i used those too,41,FEEDBACK_NEUTRAL,None
16758,volunteer,lets go through it together,42,STRATEGIZING,None
16758,student,ok,43,None,None
16758,volunteer,whats <US_DRIVER_LICENSE>?,44,None,None
16758,student,wait huh,45,None,None
16758,student,oh I got,46,None,None
16758,student,18,47,None,None
16758,student,for <US_DRIVER_LICENSE>,48,None,None
16758,student,sorry,49,None,None
16758,volunteer,that's ok,50,None,None
16758,volunteer,<US_DRIVER_LICENSE>?,51,None,None
16758,student,oh,52,None,None
16758,student,0,53,None,None
16758,volunteer,<US_DRIVER_LICENSE>?,54,None,None
16758,student,-3,55,None,None
16758,volunteer,and <US_DRIVER_LICENSE>?,56,None,None
16758,student,-3,57,None,None
16758,student,-4*,58,None,None
16758,volunteer,the top woudl be?,59,PROMPTING_NEXT_STEP,None
16758,student,18,60,None,None
16758,volunteer,bottom?,61,PROMPTING_NEXT_STEP,None
16758,student,1,62,None,None
16758,volunteer,here you go,63,None,None
16758,student,I see where I went wrong,64,None,None
16758,student,thanks,65,None,None
16758,volunteer,no problem,66,None,None
16758,volunteer,what points are you using for the second point?,67,PROMPTING_SELF_EXPLANATION,None
16758,volunteer,second positive,68,None,None
16758,student,I circled them,69,None,None
16758,volunteer,try doing it again,70,PROMPTING_SELF_CORRECTION,None
16758,student,these?,71,None,None
16758,volunteer,the second positive,72,None,None
16758,volunteer,the bottom point,73,None,None
16758,volunteer,and the topmost in that section,74,None,None
16758,student,is it possible for you to reset the graph,75,None,None
16758,volunteer,"no it was 4,32 and -2, -12",76,None,None
16758,student,so I can see clearly,77,None,None
16758,student,oh,78,None,None
16758,student,oh ok,79,None,None
16758,volunteer,what'd you get?,80,PROMPTING_NEXT_STEP,None
16758,student,I got,81,None,None
16758,student,32-(-12) is 44 right and then 4-1 is 4 - (-2) is 6,82,None,None
16758,student,so 44/6?,83,None,None
16758,volunteer,"oh sorry i wrote the points wrong its actualy 2,12",84,CORRECTING_OWN_ERROR,None
16758,volunteer,so it woudl be 4-2,85,CORRECTING_OWN_ERROR,None
16758,student,oh ok so 2,86,None,None
16758,student,so then 22,87,None,None
16758,volunteer,"yeas, great job!",88,FEEDBACK_CORRECT,ENCOURAGING
16758,student,ahh okk,89,None,None
16758,student,"I see, thank you",90,None,None
16758,student,this is,91,None,None
16758,student,question 3,92,None,None
16758,volunteer,What do you think?,93,PROMPTING_NEXT_STEP,None
16758,student,I don't really understand the question,94,None,None
16758,student,I understand the first part,95,None,None
16758,volunteer,"it's asking in the interval of [-4,3] where does the graph achieve minimum and maximum",96,EXPLAINING_PROCEDURAL,None
16758,student,oh yea,97,None,None
16758,student,it would be where the 2 lines are,98,None,None
16758,student,?,99,None,None
16758,student,or,100,None,None
16758,volunteer,"yep, or in more maths terms where the tangent's slope is 0",101,EXPLAINING_CONCEPTUAL,None
16758,student,what's tangent?,102,None,None
16758,volunteer,a line drawn perpendicular to a point,103,EXPLAINING_CONCEPTUAL,None
16758,student,oh ok,104,None,None
16758,volunteer,thatys a tengent basically,105,EXPLAINING_CONCEPTUAL,None
16758,student,ohh,106,None,None
16758,student,okk I understand it now,107,None,None
16758,volunteer,so thats where it is we have to aproximate the slope of the graph at those points,108,EXPLAINING_CONCEPTUAL,None
16758,student,at those points specifically or like between them,109,None,None
16758,volunteer,you can sort of give approximates sicne theres no equation of the tine provided,110,EXPLAINING_PROCEDURAL,None
16758,student,I don't understand,111,None,None
16758,volunteer,liek guess the x values basically,112,EXPLAINING_PROCEDURAL,None
16758,volunteer,based on the graph,113,EXPLAINING_PROCEDURAL,None
16758,student,so -2 and 1?,114,None,None
16758,volunteer,about mayeb like -2.5 and 1.5,115,FEEDBACK_INCORRECT,GIVING_ANSWER
16758,student,oh yea,116,None,None
16758,student,wait so that would be the slope? or,117,None,None
16758,volunteer,it woudl be 0,118,GIVING_ANSWER,None
16758,volunteer,cause thats where the min and maxes are,119,EXPLAINING_CONCEPTUAL,None
16758,student,so the slope of the points would be 0,120,None,None
16758,volunteer,yep,121,FEEDBACK_CORRECT,None
16758,student,and the slope changes aroudn these values,122,None,None
16758,student,because it turns around?,123,None,None
16758,volunteer,yes,124,FEEDBACK_CORRECT,None
16758,volunteer,correct,125,FEEDBACK_CORRECT,None
16758,student,ah ok,126,None,None
16758,volunteer,great job!,127,PRAISING_PROCESSES,None
16758,student,so can we form a response,128,None,None
16758,student,thank you,129,None,None
16758,volunteer,no worries,130,None,None
16758,student,theres one more question,131,None,None
16758,volunteer,yea sure,132,None,None
16758,student,oh wait no,133,None,None
16758,student,"so its actually 2 questions, sorry",134,None,None
16758,volunteer,allg for 4. its because between the two roots (one positive and one negative) - the slope has to change from positive to negative and to do that there as to be a turning point whcih is a local max or min,135,EXPLAINING_CONCEPTUAL,None
16758,volunteer,second q - positive slope = approcahing <PERSON> turning point and negative slope = min turning point,136,GIVING_ANSWER,None
16758,student,thank youu,137,None,None
16758,volunteer,ofc no worries,138,None,None
16758,student,Have a good day,139,None,None
16758,volunteer,you too,140,None,None
57103,volunteer,Hello!,0,None,None
57103,volunteer,How can I help?,1,None,None
57103,student,hi! could you help me with this word problem,2,None,None
57103,student,"You are floating in a hot air balloon but you don’t know your altitude. In order to figure it out you float
over a highway and triangulate from the miles posts. The angle of depression to one milepost is 30◦, and
to the next milepost is 28◦. Using this information, how high above the ground is the hot air balloon?",3,None,None
57103,volunteer,Got you,4,None,None
57103,volunteer,ok so we have 2 angles of depression,5,STRATEGIZING,None
57103,student,ok got it,6,None,None
57103,volunteer,oh and we know they are consecutive - on the same side,7,STRATEGIZING,None
57103,volunteer,so this is the distance we need to find,8,STRATEGIZING,None
57103,student,ok,9,None,None
57103,student,and we're finding the height?,10,None,None
57103,volunteer,Good question,11,ENCOURAGING,None
57103,volunteer,"My bad actually you're right, we don't need that distance, we just need the height",12,CORRECTING_OWN_ERROR,None
57103,volunteer,I think there might be a height difference between the two mile posts and that's what we need to find,13,STRATEGIZING,None
57103,volunteer,actually that can't be true because they're both ground level,14,CORRECTING_OWN_ERROR,None
57103,volunteer,That's a hard question,15,None,None
57103,student,ok yeah im also really confused with the question,16,None,None
57103,volunteer,oh wait,17,None,None
57103,volunteer,so the distance between mile markers is 1 mile,18,STRATEGIZING,None
57103,volunteer,That actually helps a lot,19,STRATEGIZING,None
57103,student,oh right,20,None,None
57103,volunteer,"I think the approach here might be to write multiple equations of what we know, and to then create a system of equations to solve these together",21,STRATEGIZING,None
57103,volunteer,And we need to relate these equations to the properties of a right triangle,22,STRATEGIZING,None
57103,volunteer,which will likely be this one,23,STRATEGIZING,None
57103,volunteer,"Or wait let's just try to write equations for now, then we'll see which triangles we're gonna pick to set up the system",24,STRATEGIZING,None
57103,volunteer,"we'll call this side x and the height h, because we don't know them",25,STRATEGIZING,EXPLAINING_PROCEDURAL
57103,student,ok got it,26,None,None
57103,volunteer,This angle is going to be 30°,27,EXPLAINING_PROCEDURAL,None
57103,volunteer,We know that because interior opposite angles between parallel lines are equal,28,EXPLAINING_CONCEPTUAL,None
57103,volunteer,Now let's try to relate the varaibles,29,STRATEGIZING,None
57103,volunteer,Same reasoning for the 28° below  as the 30° btw,30,EXPLAINING_CONCEPTUAL,None
57103,student,ok,31,None,None
57103,volunteer,now let's use trigonometric functions to relate the two variables into single equations,32,EXPLAINING_PROCEDURAL,None
57103,volunteer,for example,33,None,None
57103,volunteer,we can say the following,34,EXPLAINING_PROCEDURAL,None
57103,volunteer,Does that make sense?,35,PROBING_UNDERSTAND,None
57103,student,yeah that makes sense,36,None,None
57103,volunteer,Great,37,ENCOURAGING,None
57103,volunteer,we can make another equation this way,38,EXPLAINING_PROCEDURAL,None
57103,volunteer,Does that make sense?,39,PROBING_UNDERSTAND,None
57103,student,yes that makes sense,40,None,None
57103,volunteer,"Great, now we should be able to combine these two equations and solve for h",41,EXPLAINING_PROCEDURAL,None
57103,volunteer,are yo allowed to use a calculator?,42,None,None
57103,student,yup,43,None,None
57103,volunteer,Awesome,44,None,None
57103,volunteer,it will make it a lot easier to evaluate these two terms,45,None,None
57103,volunteer,Would you like to try combine these two equations and solve for h?,46,PROMPTING_NEXT_STEP,None
57103,student,should i solve them separately or combine them?,47,None,None
57103,volunteer,"you should combine them, you wouldn't be able to solve them separately as each has two variables",48,EXPLAINING_PROCEDURAL,EXPLAINING_CONCEPTUAL
57103,volunteer,but if you express one variable in terms of the other and then plug it into one of the equations that might help,49,GIVING_HINT,None
57103,student,wait sorry im a bit confused could you like show me what my first step should be,50,None,None
57103,volunteer,yea sure,51,None,None
57103,volunteer,you could do something like this maybe,52,EXPLAINING_PROCEDURAL,None
57103,volunteer,Does it make sense how I got here?,53,PROBING_UNDERSTAND,None
57103,student,yeah that makes sense,54,None,None
57103,student,you singled out the h from both equations,55,None,None
57103,volunteer,yea,56,EXPLAINING_PROCEDURAL,None
57103,volunteer,"and now we can set the two equations equal to each other, solve for x, plug it back in and get our height, h",57,EXPLAINING_PROCEDURAL,None
57103,student,ok got it,58,None,None
57103,student,should i divide by tan 30 on both sides?,59,None,None
57103,student,to single out the x on the left,60,None,None
57103,student,and then divide by (x+1) once again??,61,None,None
57103,volunteer,"you can do that, but there might be a slightly easier way",62,GIVING_HINT,None
57103,volunteer,if we divide the tan 28,63,EXPLAINING_PROCEDURAL,None
57103,volunteer,and then that x on the left,64,EXPLAINING_PROCEDURAL,None
57103,student,ok got it,65,None,None
57103,volunteer,now this you can easily find on a calculator,66,STRATEGIZING,None
57103,volunteer,but save it for last step,67,STRATEGIZING,None
57103,volunteer,now we just need to isolate our x,68,STRATEGIZING,None
57103,volunteer,"the reason why I did it this way is because when we just have the x in the denominator, we can split it this way",69,EXPLAINING_PROCEDURAL,None
57103,student,ok got it,70,None,None
57103,volunteer,"whereas if we tried it your way, we would have x+1 on the denominator, it would be harder to continue from there",71,EXPLAINING_PROCEDURAL,None
57103,volunteer,whereas here we cancel this,72,EXPLAINING_PROCEDURAL,None
57103,volunteer,and are left with 1/x,73,EXPLAINING_PROCEDURAL,None
57103,volunteer,now we simply flip both sides and we're good,74,EXPLAINING_PROCEDURAL,None
57103,volunteer,And there's our x,75,EXPLAINING_PROCEDURAL,None
57103,student,and now how do we find the h?,76,None,None
57103,volunteer,take what we found for x,77,EXPLAINING_PROCEDURAL,None
57103,volunteer,plug it into one of the original equations,78,EXPLAINING_PROCEDURAL,None
57103,volunteer,and solve for,79,EXPLAINING_PROCEDURAL,None
57103,volunteer,h,80,EXPLAINING_PROCEDURAL,None
57103,student,so could it be tan of 30?,81,None,None
57103,volunteer,no no we would plug it for x,82,FEEDBACK_INCORRECT,EXPLAINING_PROCEDURAL
57103,volunteer,i just marked that equation because it's easier to plug it into this one than the other one,83,EXPLAINING_PROCEDURAL,None
57103,volunteer,like this,84,None,None
57103,student,i got 0.53 but it doesn't seem right?,85,None,None
57103,volunteer,well it is 0.53 miles,86,FEEDBACK_CORRECT,None
57103,volunteer,do you have an answer key?,87,None,None
57103,student,no i don't,88,None,None
57103,student,ohh wait got it so my final answer is 0.53 miles,89,None,None
57103,volunteer,Yea,90,FEEDBACK_CORRECT,None
57103,student,ok great!,91,None,None
57103,student,thanks for your help!,92,None,None
57103,volunteer,Yea of course,93,None,None
57103,volunteer,Is that it?,94,None,None
57103,student,yup,95,None,None
57103,volunteer,Awesome,96,None,None
57103,volunteer,Have a good rest of your night :),97,None,None
57103,student,you too!,98,None,None
14715,volunteer,hello!,0,None,None
14715,student,Hi!,1,None,None
14715,volunteer,what do you need help with?,2,None,None
14715,volunteer,like anything specific within the area of statistics,3,None,None
14715,student,Hello right now I am in AP Satistics and I need to complete a homework I'm struggling on. Im going to send you a picture of some of the questions,4,None,None
14715,volunteer,okay but i will not be allowed to totally answer them for you just assist you okay?,5,MANAGING,None
14715,volunteer,its against the rules of upchieve',6,MANAGING,None
14715,student,okay,7,None,None
14715,volunteer,just put the photos on the board and we can go from there,8,None,None
14715,student,here,9,None,None
14715,volunteer,okay so what do you know about what is shown so far,10,PROMPTING_SELF_EXPLANATION,None
14715,volunteer,what are the different types of relationships for graphs and scatterplots,11,PROMPTING_RELATED_CONCEPTS,None
14715,student,"That it is a weak, positive, linear relationship with unusual features?",12,None,None
14715,volunteer,yes that is true,13,FEEDBACK_CORRECT,None
14715,volunteer,what are you seeing in the scatter plot,14,PROMPTING_SELF_EXPLANATION,None
14715,student,that it is like spread out and uneven?,15,None,None
14715,volunteer,yes yes thats good,16,FEEDBACK_CORRECT,None
14715,volunteer,is there a general direction that the dots are going towards?,17,PROMPTING_NEXT_STEP,None
14715,student,positive or up,18,None,None
14715,volunteer,like is there a trend,19,PROMPTING_NEXT_STEP,None
14715,volunteer,yes good,20,FEEDBACK_CORRECT,None
14715,volunteer,also what are some outliers in the scatterploit,21,PROMPTING_NEXT_STEP,None
14715,student,A and B and the one close to B,22,None,None
14715,volunteer,yes good,23,FEEDBACK_CORRECT,None
14715,volunteer,since the dots are going up positively what type of relationship do the dots have with the graphj,24,PROMPTING_NEXT_STEP,None
14715,volunteer,like with the animals and stuff,25,None,None
14715,student,that the animals have a long lifespan?,26,None,None
14715,student,or an increasing one?,27,None,None
14715,volunteer,yes that is true,28,FEEDBACK_CORRECT,None
14715,volunteer,"so the correct wording would be, the scatterplot shows a positive association between gestation period (x-axis) and life span (y-axis) for the 43 species of animals.",29,EXPLAINING_PROCEDURAL,None
14715,volunteer,what do you think about that?,30,None,None
14715,student,Do I also say that it is weak and linear with unusual features?,31,None,None
14715,volunteer,well what do you think?,32,PROMPTING_SELF_EXPLANATION,None
14715,volunteer,are the points scattered?,33,GIVING_HINT,None
14715,student,kind of? it does look a bit linear?,34,None,None
14715,volunteer,you can say that the correlation is not very strong and there are clear outliers then state them,35,EXPLAINING_PROCEDURAL,None
14715,student,okay. So I can say: The relationship between the gestational period of an animal and its average life span shows a weak positive correlation with unusual features?,36,None,None
14715,volunteer,yes thats a good answer for it!!!,37,FEEDBACK_CORRECT,None
14715,student,ok,38,None,None
14715,student,okay done,39,None,None
14715,volunteer,good good,40,None,None
14715,student,how about question b?,41,None,None
14715,volunteer,what are you thinking for part b,42,PROMPTING_NEXT_STEP,None
14715,volunteer,i want to know your thoughts first and see how we can work from there,43,STRATEGIZING,None
14715,student,Okay so first idk what is a hippopotamus and that point A makes the slope get closer to zero it increases the y-intercept and increases the correlation,44,None,None
14715,volunteer,okay so a hippopotamus is a hippo,45,None,None
14715,volunteer,do we know what that is?,46,PROBING_PRIOR_KNOWLEDGE,None
14715,student,Oh yes. sorry about that I thought it was like a math term or something,47,None,None
14715,volunteer,hehehe its okay,48,VALIDATING_FEELING,None
14715,volunteer,it happens,49,VALIDATING_FEELING,None
14715,volunteer,make sure to read the situation of the problem all the time,50,FEEDBACK_NEUTRAL,None
14715,volunteer,sometimes it does that with plants as well,51,FEEDBACK_NEUTRAL,None
14715,student,ok,52,None,None
14715,volunteer,so what is the correlation of point A do you think?,53,PROMPTING_NEXT_STEP,None
14715,volunteer,like to the entire graph,54,PROMPTING_NEXT_STEP,None
14715,student,I think the correlation increases,55,None,None
14715,volunteer,yes it does allow the correlation to increase,56,FEEDBACK_CORRECT,None
